heap,graph,workload,vertices,edges,repeat,nanos
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/rhg_24_graph.gr,bench_graph::PrimWorkload,16777216,159734888,2,25308313305.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/rhg_20_graph.gr,bench_graph::DijkstraWorkload,1048576,10306351,0,439506157.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/rhg_20_graph.gr,bench_graph::DijkstraWorkload,1048576,10306351,1,441274299.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/rhg_20_graph.gr,bench_graph::DijkstraWorkload,1048576,10306351,2,441268089.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/rhg_20_graph.gr,bench_graph::PrimWorkload,1048576,10306351,0,1342325851.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/rhg_20_graph.gr,bench_graph::PrimWorkload,1048576,10306351,1,1336682512.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/rhg_20_graph.gr,bench_graph::PrimWorkload,1048576,10306351,2,1340050710.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/GER_graph.gr,bench_graph::DijkstraWorkload,20690320,41791542,0,6211533457.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/GER_graph.gr,bench_graph::DijkstraWorkload,20690320,41791542,1,6217899874.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/GER_graph.gr,bench_graph::DijkstraWorkload,20690320,41791542,2,6218260320.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/GER_graph.gr,bench_graph::PrimWorkload,20690320,41791542,0,4939827161.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/GER_graph.gr,bench_graph::PrimWorkload,20690320,41791542,1,4929733851.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/GER_graph.gr,bench_graph::PrimWorkload,20690320,41791542,2,4931537387.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/CTR_graph.gr,bench_graph::DijkstraWorkload,14081816,34292496,0,4558775827.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/CTR_graph.gr,bench_graph::DijkstraWorkload,14081816,34292496,1,4562428390.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/CTR_graph.gr,bench_graph::DijkstraWorkload,14081816,34292496,2,4559701755.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/CTR_graph.gr,bench_graph::PrimWorkload,14081816,34292496,0,4300833235.0
"quickheap::scalar_quickheap::ScalarQuickHeap<u64, 3, false, quickheap::scalar_quickheap::Search::LinearScan>",input/CTR_graph.gr,bench_graph::PrimWorkload,14081816,34292496,1,4298107692.0
