elem,heap,n,workload,ops,repeat,nanos,push_comparisons,pop_comparisons,branch_misses,l1_cache_misses,hw_cache_misses,hw_cache_references,l3_cache_misses
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",262144,bench::workloads::RandomWiggle,786432,0,119945126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",262144,bench::workloads::RandomWiggle,786432,1,118384758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",262144,bench::workloads::RandomWiggle,786432,2,120129225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",524288,bench::workloads::HeapSort,524288,0,107212455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",524288,bench::workloads::HeapSort,524288,1,106626956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",524288,bench::workloads::HeapSort,524288,2,106481155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",524288,bench::workloads::MonotoneConstantSize,5242880,0,1088025811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",524288,bench::workloads::MonotoneConstantSize,5242880,1,1089561672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",524288,bench::workloads::MonotoneConstantSize,5242880,2,1088872757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",524288,bench::workloads::MonotoneWiggle,1572864,0,318876223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",524288,bench::workloads::MonotoneWiggle,1572864,1,317645845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",524288,bench::workloads::MonotoneWiggle,1572864,2,318374631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i32,"bench::scalar_quickheap::ScalarQuickHeap<i32, 3, false, bench::scalar_quickheap::Search::LinearScan>",524288,bench::workloads::RandomWiggle,1572864,0,242217223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
